QB,RB,RB,WR,WR,WR,TE,FLEX,DST
7385575,7385600,7385605,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385575,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385575,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385575,7385605,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385575,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385577,7385588,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385600,7385605,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385600,7385605,7385615,7385613,7385633,7385661,7385617,7385748
7385577,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385577,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385577,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385577,7385605,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385577,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385610,7385600,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385610,7385600,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385610,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385610,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385610,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385588,7385600,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385588,7385600,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385588,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385588,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385588,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385588,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385600,7385605,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385600,7385605,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385600,7385603,7385615,7385613,7385633,7385653,7385617,7385749
7385584,7385600,7385603,7385615,7385613,7385633,7385653,7385617,7385748
7385584,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385600,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385600,7385589,7385615,7385613,7385633,7385653,7385617,7385749
7385584,7385600,7385589,7385615,7385613,7385633,7385653,7385617,7385748
7385584,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385600,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385605,7385603,7385615,7385613,7385633,7385653,7385617,7385749
7385584,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385605,7385603,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385605,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385605,7385589,7385615,7385613,7385633,7385661,7385617,7385748
7385584,7385603,7385589,7385615,7385613,7385633,7385653,7385617,7385749
7385584,7385603,7385589,7385615,7385613,7385633,7385653,7385617,7385748
7385584,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385749
7385584,7385603,7385589,7385615,7385613,7385633,7385661,7385617,7385748
