QB,RB,RB,WR,WR,WR,TE,FLEX,DST
7530613,7530643,7530651,7530683,7530669,7530666,7530717,7530641,7530840
7530613,7530643,7530651,7530686,7530688,7530669,7530717,7530666,7530840
7530613,7530634,7530643,7530686,7530659,7530695,7530717,7530651,7530840
7530613,7530634,7530643,7530686,7530659,7530695,7530717,7530651,7530840
7530613,7530634,7530651,7530688,7530669,7530666,7530717,7530641,7530840
7530606,7530634,7530643,7530686,7530688,7530666,7530717,7530651,7530840
7530606,7530643,7530641,7530686,7530683,7530669,7530717,7530695,7530840
7530613,7530634,7530651,7530686,7530669,7530695,7530705,7530641,7530840
7530613,7530634,7530651,7530686,7530669,7530695,7530705,7530641,7530840
7530606,7530634,7530641,7530686,7530688,7530669,7530717,7530695,7530840
7530613,7530643,7530651,7530659,7530683,7530669,7530717,7530641,7530840
7530613,7530634,7530643,7530669,7530695,7530666,7530717,7530651,7530840
7530613,7530634,7530643,7530669,7530695,7530666,7530717,7530651,7530840
7530613,7530634,7530651,7530659,7530688,7530669,7530717,7530641,7530840
7530613,7530643,7530641,7530686,7530683,7530695,7530717,7530666,7530840
7530606,7530634,7530643,7530686,7530659,7530688,7530717,7530651,7530840
7530606,7530643,7530651,7530686,7530683,7530669,7530705,7530641,7530840
7530606,7530643,7530651,7530659,7530669,7530666,7530717,7530641,7530840
7530606,7530643,7530651,7530659,7530669,7530666,7530717,7530641,7530840
7530606,7530634,7530651,7530686,7530688,7530669,7530705,7530641,7530840
7530606,7530643,7530651,7530659,7530683,7530669,7530717,7530666,7530840
7530613,7530634,7530643,7530659,7530669,7530695,7530717,7530651,7530840
7530613,7530634,7530643,7530659,7530669,7530695,7530717,7530651,7530840
7530606,7530634,7530651,7530686,7530669,7530695,7530717,7530641,7530840
7530606,7530634,7530651,7530686,7530669,7530695,7530717,7530641,7530840
7530606,7530634,7530643,7530688,7530669,7530666,7530717,7530651,7530840
7530613,7530643,7530651,7530686,7530683,7530666,7530705,7530641,7530840
7530613,7530643,7530641,7530686,7530659,7530683,7530717,7530695,7530840
7530606,7530634,7530643,7530686,7530669,7530695,7530705,7530651,7530840
7530606,7530634,7530643,7530686,7530669,7530695,7530705,7530651,7530840
7530613,7530634,7530651,7530686,7530683,7530695,7530717,7530666,7530840
7530613,7530643,7530641,7530683,7530669,7530695,7530717,7530666,7530840
7530606,7530634,7530643,7530659,7530688,7530669,7530717,7530651,7530840
7530606,7530634,7530643,7530683,7530695,7530666,7530717,7530641,7530840
7530613,7530651,7530641,7530686,7530688,7530669,7530717,7530666,7530840
7530606,7530643,7530651,7530686,7530683,7530666,7530717,7530641,7530840
7530613,7530634,7530651,7530686,7530659,7530695,7530717,7530641,7530840
7530613,7530634,7530651,7530686,7530659,7530695,7530717,7530641,7530840
7530606,7530634,7530651,7530686,7530688,7530666,7530717,7530641,7530840
7530613,7530634,7530643,7530686,7530683,7530695,7530717,7530651,7530840
7530613,7530643,7530651,7530686,7530669,7530695,7530717,7530666,7530840
7530613,7530643,7530651,7530686,7530669,7530695,7530717,7530666,7530840
7530613,7530634,7530643,7530688,7530669,7530695,7530717,7530641,7530840
7530613,7530651,7530641,7530686,7530659,7530688,7530717,7530669,7530840
7530613,7530634,7530651,7530669,7530695,7530666,7530717,7530641,7530840
7530613,7530634,7530651,7530669,7530695,7530666,7530717,7530641,7530840
7530606,7530643,7530651,7530686,7530659,7530683,7530717,7530641,7530840
7530606,7530634,7530643,7530686,7530695,7530666,7530717,7530651,7530840
7530606,7530634,7530643,7530686,7530695,7530666,7530717,7530651,7530840
7530606,7530634,7530651,7530686,7530659,7530688,7530717,7530641,7530840
