QB,RB,RB,WR,WR,WR,TE,FLEX,DST
7395326,7395416,7395421,7395589,7395513,7395517,7395651,7395526,7396134
7395302,7395416,7395421,7395589,7395513,7395517,7395651,7395526,7396134
7395326,7395416,7395421,7395513,7395517,7395628,7395651,7395526,7396134
7395308,7395416,7395421,7395589,7395517,7395628,7395651,7395526,7396134
7395308,7395416,7395421,7395589,7395517,7395628,7395651,7395526,7396141
7395326,7395477,7395416,7395589,7395517,7395628,7395651,7395526,7396134
7395308,7395477,7395421,7395589,7395517,7395628,7395651,7395526,7396134
7395302,7395416,7395421,7395513,7395517,7395628,7395651,7395526,7396134
7395308,7395477,7395421,7395589,7395517,7395628,7395651,7395526,7396141
7395308,7395416,7395421,7395589,7395517,7395559,7395651,7395526,7396134
7395308,7395416,7395421,7395589,7395631,7395517,7395651,7395526,7396134
7395308,7395416,7395421,7395589,7395517,7395559,7395651,7395526,7396141
7395308,7395416,7395421,7395589,7395631,7395517,7395651,7395526,7396141
7395308,7395416,7395421,7395589,7395517,7395559,7395644,7395526,7396134
7395326,7395465,7395421,7395589,7395513,7395517,7395651,7395526,7396134
7395302,7395477,7395416,7395589,7395517,7395628,7395651,7395526,7396134
7395308,7395477,7395421,7395589,7395517,7395559,7395651,7395526,7396134
7395308,7395477,7395421,7395589,7395631,7395517,7395651,7395526,7396134
7395326,7395465,7395421,7395589,7395513,7395517,7395651,7395526,7396141
7395308,7395477,7395421,7395589,7395517,7395559,7395651,7395526,7396141
7395308,7395416,7395465,7395589,7395517,7395628,7395651,7395526,7396134
7395326,7395416,7395421,7395589,7395517,7395628,7395644,7395526,7396134
7395302,7395465,7395421,7395589,7395513,7395517,7395651,7395526,7396134
7395308,7395416,7395465,7395589,7395517,7395628,7395651,7395526,7396141
7395326,7395416,7395421,7395589,7395517,7395628,7395644,7395526,7396141
7395302,7395465,7395421,7395589,7395513,7395517,7395651,7395526,7396141
7395326,7395416,7395421,7395589,7395559,7395628,7395651,7395526,7396134
7395326,7395416,7395421,7395589,7395517,7395559,7395651,7395526,7396134
7395326,7395416,7395421,7395589,7395631,7395517,7395651,7395526,7396134
7395302,7395416,7395421,7395589,7395517,7395628,7395651,7395526,7396134
7395326,7395477,7395421,7395589,7395517,7395628,7395644,7395526,7396134
7395326,7395416,7395421,7395589,7395517,7395559,7395651,7395526,7396141
7395326,7395416,7395421,7395589,7395631,7395517,7395651,7395526,7396141
7395302,7395416,7395421,7395589,7395517,7395628,7395651,7395526,7396141
7395326,7395477,7395421,7395589,7395517,7395628,7395644,7395526,7396141
7395308,7395416,7395465,7395589,7395517,7395559,7395651,7395526,7396134
7395326,7395416,7395421,7395589,7395517,7395559,7395644,7395526,7396134
7395326,7395416,7395421,7395589,7395631,7395517,7395644,7395526,7396134
7395302,7395416,7395421,7395589,7395517,7395628,7395644,7395526,7396134
7395326,7395477,7395421,7395589,7395517,7395559,7395651,7395526,7396134
7395326,7395477,7395421,7395589,7395631,7395517,7395651,7395526,7396134
7395302,7395477,7395421,7395589,7395517,7395628,7395651,7395526,7396134
7395326,7395416,7395421,7395589,7395517,7395559,7395644,7395526,7396141
7395302,7395416,7395421,7395589,7395517,7395628,7395644,7395526,7396141
7395326,7395477,7395421,7395589,7395517,7395559,7395651,7395526,7396141
7395326,7395477,7395421,7395589,7395631,7395517,7395651,7395526,7396141
7395302,7395477,7395421,7395589,7395517,7395628,7395651,7395526,7396141
7395302,7395416,7395421,7395589,7395517,7395559,7395651,7395526,7396134
7395326,7395477,7395421,7395589,7395517,7395559,7395644,7395526,7396134
7395302,7395416,7395421,7395589,7395631,7395517,7395651,7395526,7396134
7395308,7395416,7395421,7395517,7395559,7395628,7395651,7395526,7396134
7395302,7395477,7395421,7395589,7395517,7395628,7395644,7395526,7396134
7395308,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396134
7395308,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396141
7395308,7395477,7395416,7395589,7395517,7395526,7395644,7395421,7396134
7395326,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396134
7395326,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396141
7395308,7395477,7395416,7395589,7395517,7395526,7395651,7395465,7396134
7395326,7395477,7395416,7395589,7395517,7395526,7395644,7395421,7396134
7395326,7395477,7395416,7395589,7395517,7395526,7395644,7395421,7396141
7395302,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396134
7395308,7395477,7395416,7395517,7395628,7395526,7395651,7395421,7396134
7395302,7395477,7395416,7395589,7395517,7395526,7395651,7395421,7396141
7395308,7395477,7395416,7395517,7395628,7395526,7395651,7395421,7396141
