QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Antonio Brown (7582003),Antonio Brown,7582003,10000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Odell Beckham Jr. (7581964),Odell Beckham Jr.,7581964,8800,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,A.J. Green (7582016),A.J. Green,7582016,8600,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Cam Newton (7581825),Cam Newton,7581825,8100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Kelvin Benjamin (7581975),Kelvin Benjamin,7581975,8100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Drew Brees (7581821),Drew Brees,7581821,7900,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Le'Veon Bell (7581910),Le'Veon Bell,7581910,7900,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Allen Robinson (7581990),Allen Robinson,7581990,7800,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,DeMarco Murray (7581863),DeMarco Murray,7581863,7700,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Tom Brady (7581843),Tom Brady,7581843,7700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Brandin Cooks (7581976),Brandin Cooks,7581976,7600,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Ben Roethlisberger (7581839),Ben Roethlisberger,7581839,7500,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Marvin Jones Jr. (7581996),Marvin Jones Jr.,7581996,7200,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Alshon Jeffery (7581984),Alshon Jeffery,7581984,7100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,TE,Greg Olsen (7582053),Greg Olsen,7582053,7000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,RB,LeSean McCoy (7581851),LeSean McCoy,7581851,6900,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Jarvis Landry (7582006),Jarvis Landry,7582006,6800,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Julian Edelman (7582015),Julian Edelman,7582015,6800,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Jordan Matthews (7581937),Jordan Matthews,7581937,6700,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Todd Gurley (7581904),Todd Gurley,7581904,6700,LA@Det 01:00PM ET,LA,
,,,,,,,,,,TE,Rob Gronkowski (7582084),Rob Gronkowski,7582084,6700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Derek Anderson (7581822),Derek Anderson,7581822,6400,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Willie Snead (7581973),Willie Snead,7581973,6400,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Blake Bortles (7581830),Blake Bortles,7581830,6300,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Jordan Howard (7581897),Jordan Howard,7581897,6200,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Matthew Stafford (7581833),Matthew Stafford,7581833,6200,LA@Det 01:00PM ET,Det,
,,,,,,,,,,TE,Jordan Reed (7582035),Jordan Reed,7582035,6100,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Marcus Mariota (7581815),Marcus Mariota,7581815,6100,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Terrelle Pryor Sr. (7581949),Terrelle Pryor Sr.,7581949,6100,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Carson Wentz (7581809),Carson Wentz,7581809,6000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Mark Ingram (7581885),Mark Ingram,7581885,6000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Eli Manning (7581817),Eli Manning,7581817,5900,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,DeSean Jackson (7581934),DeSean Jackson,7581934,5800,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Joe Flacco (7581816),Joe Flacco,7581816,5800,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Brian Hoyer (7581827),Brian Hoyer,7581827,5800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Kirk Cousins (7581808),Kirk Cousins,7581808,5600,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Sterling Shepard (7581967),Sterling Shepard,7581967,5600,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Delanie Walker (7582038),Delanie Walker,7582038,5500,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Steve Smith Sr. (7581957),Steve Smith Sr.,7581957,5500,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Andy Dalton (7581844),Andy Dalton,7581844,5500,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Ryan Tannehill (7581840),Ryan Tannehill,7581840,5400,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,Tyrod Taylor (7581802),Tyrod Taylor,7581802,5300,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Theo Riddick (7581900),Theo Riddick,7581900,5300,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Mike Wallace (7581961),Mike Wallace,7581961,5200,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Carlos Hyde (7581853),Carlos Hyde,7581853,5100,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Jonathan Stewart (7581882),Jonathan Stewart,7581882,5100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Jay Cutler (7581826),Jay Cutler,7581826,5100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Colin Kaepernick (7581800),Colin Kaepernick,7581800,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Christian Ponder (7581801),Christian Ponder,7581801,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,EJ Manuel (7581803),EJ Manuel,7581803,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Blaine Gabbert (7581804),Blaine Gabbert,7581804,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Cardale Jones (7581805),Cardale Jones,7581805,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Chase Daniel (7581806),Chase Daniel,7581806,5000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,QB,Colt McCoy (7581807),Colt McCoy,7581807,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Nate Sudfeld (7581810),Nate Sudfeld,7581810,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Josh McCown (7581811),Josh McCown,7581811,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Matt Cassel (7581812),Matt Cassel,7581812,5000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Charlie Whitehurst (7581813),Charlie Whitehurst,7581813,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Cody Kessler (7581814),Cody Kessler,7581814,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Josh Johnson (7581818),Josh Johnson,7581818,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Ryan Mallett (7581819),Ryan Mallett,7581819,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Ryan Nassib (7581820),Ryan Nassib,7581820,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Terrance West (7581875),Terrance West,7581875,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Luke McCown (7581823),Luke McCown,7581823,5000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Joe Webb (7581824),Joe Webb,7581824,5000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Chad Henne (7581828),Chad Henne,7581828,5000,Jax@Chi 01:00PM ET,Jax,
