QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Antonio Brown (7530987),Antonio Brown,7530987,9700,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Odell Beckham Jr. (7531001),Odell Beckham Jr.,7531001,8700,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,WR,Dez Bryant (7530975),Dez Bryant,7530975,7900,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,RB,David Johnson (7530900),David Johnson,7530900,7800,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,QB,Drew Brees (7530866),Drew Brees,7530866,7600,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,Le'Veon Bell (7530929),Le'Veon Bell,7530929,7500,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Brandin Cooks (7530971),Brandin Cooks,7530971,7400,NO@SD 04:25PM ET,NO,
,,,,,,,,,,WR,Larry Fitzgerald (7530954),Larry Fitzgerald,7530954,7200,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,QB,Ben Roethlisberger (7530877),Ben Roethlisberger,7530877,7100,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,QB,Philip Rivers (7530868),Philip Rivers,7530868,6900,NO@SD 04:25PM ET,SD,
,,,,,,,,,,RB,Ezekiel Elliott (7530922),Ezekiel Elliott,7530922,6900,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,WR,Demaryius Thomas (7530945),Demaryius Thomas,7530945,6700,Den@TB 04:05PM ET,Den,
,,,,,,,,,,RB,Todd Gurley (7530902),Todd Gurley,7530902,6700,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,WR,Willie Snead (7530970),Willie Snead,7530970,6600,NO@SD 04:25PM ET,NO,
,,,,,,,,,,RB,C.J. Anderson (7530891),C.J. Anderson,7530891,6500,Den@TB 04:05PM ET,Den,
