QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Antonio Brown (7471012),Antonio Brown,7471012,9600,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,QB,Andrew Luck (7470919),Andrew Luck,7470919,7600,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,RB,DeAngelo Williams (7470961),DeAngelo Williams,7470961,7500,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,WR,Brandon Marshall (7470990),Brandon Marshall,7470990,7300,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,QB,Ben Roethlisberger (7470920),Ben Roethlisberger,7470920,7300,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,RB,Todd Gurley (7470931),Todd Gurley,7470931,7100,LA@TB 04:05PM ET,LA,
,,,,,,,,,,QB,Russell Wilson (7470906),Russell Wilson,7470906,7100,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Jordan Matthews (7471014),Jordan Matthews,7471014,7100,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,WR,Mike Evans (7470974),Mike Evans,7470974,7000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,RB,Matt Forte (7470942),Matt Forte,7470942,7000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,Eric Decker (7470991),Eric Decker,7470991,6900,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,T.Y. Hilton (7471004),T.Y. Hilton,7471004,6800,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,QB,Philip Rivers (7470917),Philip Rivers,7470917,6700,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Donte Moncrief (7471008),Donte Moncrief,7471008,6700,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,WR,Doug Baldwin (7470981),Doug Baldwin,7470981,6300,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,QB,Jameis Winston (7470902),Jameis Winston,7470902,6000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Jeremy Maclin (7470992),Jeremy Maclin,7470992,6000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,QB,Ryan Fitzpatrick (7470909),Ryan Fitzpatrick,7470909,5900,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,QB,Alex Smith (7470910),Alex Smith,7470910,5800,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Melvin Gordon (7470957),Melvin Gordon,7470957,5800,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,RB,Ryan Mathews (7470962),Ryan Mathews,7470962,5800,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,RB,Doug Martin (7470926),Doug Martin,7470926,5700,LA@TB 04:05PM ET,TB,
,,,,,,,,,,RB,Spencer Ware (7470947),Spencer Ware,7470947,5700,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Jamaal Charles (7470943),Jamaal Charles,7470943,5600,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Thomas Rawls (7470938),Thomas Rawls,7470938,5500,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,QB,Carson Wentz (7470924),Carson Wentz,7470924,5500,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,RB,Danny Woodhead (7470952),Danny Woodhead,7470952,5400,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Travis Benjamin (7471003),Travis Benjamin,7471003,5200,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,QB,Case Keenum (7470898),Case Keenum,7470898,5000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,QB,Mike Glennon (7470899),Mike Glennon,7470899,5000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,QB,Ryan Griffin (7470900),Ryan Griffin,7470900,5000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,QB,Sean Mannion (7470901),Sean Mannion,7470901,5000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,QB,Jared Goff (7470903),Jared Goff,7470903,5000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,QB,Colin Kaepernick (7470904),Colin Kaepernick,7470904,5000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,QB,Christian Ponder (7470905),Christian Ponder,7470905,5000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,QB,Blaine Gabbert (7470907),Blaine Gabbert,7470907,5000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,QB,Trevone Boykin (7470908),Trevone Boykin,7470908,5000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,RB,Christine Michael (7470936),Christine Michael,7470936,5000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,QB,Nick Foles (7470911),Nick Foles,7470911,5000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,QB,Bryce Petty (7470912),Bryce Petty,7470912,5000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,QB,Geno Smith (7470913),Geno Smith,7470913,5000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,QB,Tyler Bray (7470914),Tyler Bray,7470914,5000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,QB,Christian Hackenberg (7470915),Christian Hackenberg,7470915,5000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,QB,Kellen Clemens (7470916),Kellen Clemens,7470916,5000,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,QB,Scott Tolzien (7470918),Scott Tolzien,7470918,5000,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,RB,Frank Gore (7470951),Frank Gore,7470951,5000,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,QB,Chase Daniel (7470921),Chase Daniel,7470921,5000,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,QB,Landry Jones (7470922),Landry Jones,7470922,5000,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,QB,Zach Mettenberger (7470923),Zach Mettenberger,7470923,5000,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,RB,Charles Sims (7470929),Charles Sims,7470929,4900,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Quincy Enunwa (7470993),Quincy Enunwa,7470993,4800,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,TE,Travis Kelce (7471039),Travis Kelce,7471039,4700,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,TE,Antonio Gates (7471045),Antonio Gates,7471045,4600,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Markus Wheaton (7471013),Markus Wheaton,7471013,4600,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,RB,Carlos Hyde (7470937),Carlos Hyde,7470937,4400,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Phillip Dorsett (7471007),Phillip Dorsett,7471007,4400,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,WR,Torrey Smith (7470980),Torrey Smith,7470980,4300,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Tyrell Williams (7471009),Tyrell Williams,7471009,4300,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Tyler Lockett (7470988),Tyler Lockett,7470988,4200,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Tavon Austin (7470972),Tavon Austin,7470972,4100,LA@TB 04:05PM ET,LA,
,,,,,,,,,,DST,Seahawks  (7471192),Seahawks ,7471192,4100,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Vincent Jackson (7470968),Vincent Jackson,7470968,3900,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Kenny Britt (7470969),Kenny Britt,7470969,3900,LA@TB 04:05PM ET,LA,
,,,,,,,,,,WR,Eli Rogers (7471017),Eli Rogers,7471017,3900,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,TE,Zach Ertz (7471053),Zach Ertz,7471053,3900,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,TE,Dwayne Allen (7471047),Dwayne Allen,7471047,3800,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,WR,Sammie Coates (7471016),Sammie Coates,7471016,3800,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,RB,Darren Sproles (7470960),Darren Sproles,7470960,3700,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,WR,Dontrelle Inman (7471002),Dontrelle Inman,7471002,3600,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,RB,Charcandrick West (7470949),Charcandrick West,7470949,3500,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,WR,Nelson Agholor (7471020),Nelson Agholor,7471020,3500,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,TE,Jesse James (7471056),Jesse James,7471056,3500,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,RB,Benny Cunningham (7470928),Benny Cunningham,7470928,3400,LA@TB 04:05PM ET,LA,
,,,,,,,,,,RB,Shaun Draughn (7470933),Shaun Draughn,7470933,3400,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Jeremy Kerley (7470982),Jeremy Kerley,7470982,3400,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Jermaine Kearse (7470983),Jermaine Kearse,7470983,3400,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,RB,Bilal Powell (7470945),Bilal Powell,7470945,3400,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,RB,C.J. Prosise (7470940),C.J. Prosise,7470940,3300,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,DST,Chiefs  (7471193),Chiefs ,7471193,3200,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,WR,Darrius Heyward-Bey (7471011),Darrius Heyward-Bey,7471011,3200,Pit@Phi 04:25PM ET,Pit,
,,,,,,,,,,WR,Dorial Green-Beckham (7471018),Dorial Green-Beckham,7471018,3200,Pit@Phi 04:25PM ET,Phi,
,,,,,,,,,,DST,Buccaneers  (7471190),Buccaneers ,7471190,3100,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Quinton Patton (7470986),Quinton Patton,7470986,3100,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Chris Conley (7470995),Chris Conley,7470995,3100,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Chase Reynolds (7470925),Chase Reynolds,7470925,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,RB,Jacquizz Rodgers (7470927),Jacquizz Rodgers,7470927,3000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,RB,Malcolm Brown (7470930),Malcolm Brown,7470930,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,RB,Peyton Barber (7470932),Peyton Barber,7470932,3000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Brian Quick (7470970),Brian Quick,7470970,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,WR,Russell Shepard (7470971),Russell Shepard,7470971,3000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Cecil Shorts III (7470973),Cecil Shorts III,7470973,3000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Adam Humphries (7470975),Adam Humphries,7470975,3000,LA@TB 04:05PM ET,TB,
,,,,,,,,,,WR,Bradley Marquez (7470976),Bradley Marquez,7470976,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,WR,Nelson Spruce (7470977),Nelson Spruce,7470977,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,WR,Pharoh Cooper (7470978),Pharoh Cooper,7470978,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,WR,Mike Thomas (7470979),Mike Thomas,7470979,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,DST,Rams  (7471189),Rams ,7471189,3000,LA@TB 04:05PM ET,LA,
,,,,,,,,,,RB,DuJuan Harris (7470934),DuJuan Harris,7470934,3000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,RB,Will Tukuafu (7470935),Will Tukuafu,7470935,3000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,RB,Mike Davis (7470939),Mike Davis,7470939,3000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,RB,Alex Collins (7470941),Alex Collins,7470941,3000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Rod Streater (7470984),Rod Streater,7470984,3000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,WR,Paul Richardson (7470985),Paul Richardson,7470985,3000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Tanner McEvoy (7470987),Tanner McEvoy,7470987,3000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,WR,Aaron Burbridge (7470989),Aaron Burbridge,7470989,3000,SF@Sea 04:05PM ET,SF,
,,,,,,,,,,TE,Jimmy Graham (7471030),Jimmy Graham,7471030,3000,SF@Sea 04:05PM ET,Sea,
,,,,,,,,,,RB,Anthony Sherman (7470944),Anthony Sherman,7470944,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Knile Davis (7470946),Knile Davis,7470946,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Troymaine Pope (7470948),Troymaine Pope,7470948,3000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,RB,Julian Howsare (7470950),Julian Howsare,7470950,3000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,Albert Wilson (7470994),Albert Wilson,7470994,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,WR,Charone Peake (7470996),Charone Peake,7470996,3000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,De'Anthony Thomas (7470997),De'Anthony Thomas,7470997,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,WR,Robby Anderson (7470998),Robby Anderson,7470998,3000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,Demarcus Robinson (7470999),Demarcus Robinson,7470999,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,WR,Jalin Marshall (7471000),Jalin Marshall,7471000,3000,NYJ@KC 04:25PM ET,NYJ,
,,,,,,,,,,WR,Tyreek Hill (7471001),Tyreek Hill,7471001,3000,NYJ@KC 04:25PM ET,KC,
,,,,,,,,,,RB,Robert Turbin (7470953),Robert Turbin,7470953,3000,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,RB,Jordan Todman (7470954),Jordan Todman,7470954,3000,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,RB,Andre Williams (7470955),Andre Williams,7470955,3000,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,RB,Josh Ferguson (7470956),Josh Ferguson,7470956,3000,SD@Ind 04:25PM ET,Ind,
,,,,,,,,,,RB,Derek Watt (7470958),Derek Watt,7470958,3000,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,RB,Kenneth Farrow (7470959),Kenneth Farrow,7470959,3000,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Isaiah Burse (7471005),Isaiah Burse,7471005,3000,SD@Ind 04:25PM ET,SD,
,,,,,,,,,,WR,Quan Bray (7471006),Quan Bray,7471006,3000,SD@Ind 04:25PM ET,Ind,
