"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
QB,Philip Rivers,7470917,6700,SD@Ind 04:25PM ET,SD,25
QB,Russell Wilson,7470906,7100,SF@Sea 04:05PM ET,Sea,25
RB,Melvin Gordon,7470957,5800,SD@Ind 04:25PM ET,SD,13.3
RB,Charles Sims,7470929,4900,LA@TB 04:05PM ET,TB,11
RB,Spencer Ware,7470947,5700,NYJ@KC 04:25PM ET,KC,12.3
RB,Matt Forte,7470942,7000,NYJ@KC 04:25PM ET,NYJ,15
WR,Antonio Brown,7471012,9600,Pit@Phi 04:25PM ET,Pit,19
WR,Mike Evans,7470974,7000,LA@TB 04:05PM ET,TB,14
WR,Eric Decker,7470991,6900,NYJ@KC 04:25PM ET,NYJ,14
WR,Doug Baldwin,7470981,6300,SF@Sea 04:05PM ET,Sea,12
WR,Jeremy Maclin,7470992,6000,NYJ@KC 04:25PM ET,KC,11
WR,Travis Benjamin,7471003,5200,SD@Ind 04:25PM ET,SD,13.2
WR,Phillip Dorsett,7471007,4400,SD@Ind 04:25PM ET,Ind,9.3
TE,Travis Kelce,7471039,4700,NYJ@KC 04:25PM ET,KC,9.6
TE,Trey Burton,7471054,2500,Pit@Phi 04:25PM ET,Phi,6
TE,Jesse James,7471056,3500,Pit@Phi 04:25PM ET,Pit,7
DST,Steelers ,7471198,2900,Pit@Phi 04:25PM ET,Pit,7.7
DST,Buccaneers ,7471190,3100,LA@TB 04:05PM ET,TB,7.3
