QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Odell Beckham Jr. (7467138),Odell Beckham Jr.,7467138,9100,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,A.J. Green (7467183),A.J. Green,7467183,8100,Den@Cin 01:00PM ET,Cin,
,,,,,,,,,,QB,Cam Newton (7467042),Cam Newton,7467042,7800,Min@Car 01:00PM ET,Car,
,,,,,,,,,,RB,David Johnson (7467050),David Johnson,7467050,7700,Ari@Buf 01:00PM ET,Ari,
,,,,,,,,,,WR,Amari Cooper (7467128),Amari Cooper,7467128,7700,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,QB,Aaron Rodgers (7467028),Aaron Rodgers,7467028,7700,Det@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Allen Robinson (7467166),Allen Robinson,7467166,7500,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,WR,Jordy Nelson (7467169),Jordy Nelson,7467169,7400,Det@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Randall Cobb (7467173),Randall Cobb,7467173,7300,Det@GB 01:00PM ET,GB,
,,,,,,,,,,RB,C.J. Anderson (7467098),C.J. Anderson,7467098,7300,Den@Cin 01:00PM ET,Den,
,,,,,,,,,,QB,Carson Palmer (7467002),Carson Palmer,7467002,7200,Ari@Buf 01:00PM ET,Ari,
,,,,,,,,,,WR,Kelvin Benjamin (7467197),Kelvin Benjamin,7467197,7200,Min@Car 01:00PM ET,Car,
,,,,,,,,,,QB,Eli Manning (7467012),Eli Manning,7467012,7000,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,Larry Fitzgerald (7467110),Larry Fitzgerald,7467110,6900,Ari@Buf 01:00PM ET,Ari,
,,,,,,,,,,QB,Derek Carr (7467009),Derek Carr,7467009,6900,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,QB,Matthew Stafford (7467029),Matthew Stafford,7467029,6800,Det@GB 01:00PM ET,Det,
,,,,,,,,,,RB,Adrian Peterson (7467102),Adrian Peterson,7467102,6700,Min@Car 01:00PM ET,Min,
,,,,,,,,,,WR,Jarvis Landry (7467148),Jarvis Landry,7467148,6600,Cle@Mia 01:00PM ET,Mia,
,,,,,,,,,,RB,LeSean McCoy (7467046),LeSean McCoy,7467046,6500,Ari@Buf 01:00PM ET,Buf,
,,,,,,,,,,TE,Jordan Reed (7467220),Jordan Reed,7467220,6500,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,QB,Blake Bortles (7467025),Blake Bortles,7467025,6500,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,QB,Kirk Cousins (7467015),Kirk Cousins,7467015,6400,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,WR,Demaryius Thomas (7467182),Demaryius Thomas,7467182,6400,Den@Cin 01:00PM ET,Den,
,,,,,,,,,,RB,DeMarco Murray (7467052),DeMarco Murray,7467052,6300,Oak@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Ryan Tannehill (7467020),Ryan Tannehill,7467020,6200,Cle@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Marvin Jones Jr. (7467172),Marvin Jones Jr.,7467172,6200,Det@GB 01:00PM ET,Det,
,,,,,,,,,,WR,Sammy Watkins (7467120),Sammy Watkins,7467120,6100,Ari@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Joe Flacco (7467022),Joe Flacco,7467022,6100,Bal@Jax 01:00PM ET,Bal,
,,,,,,,,,,RB,Eddie Lacy (7467088),Eddie Lacy,7467088,6100,Det@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Michael Crabtree (7467123),Michael Crabtree,7467123,6000,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,WR,Emmanuel Sanders (7467181),Emmanuel Sanders,7467181,6000,Den@Cin 01:00PM ET,Den,
,,,,,,,,,,QB,Marcus Mariota (7467011),Marcus Mariota,7467011,5900,Oak@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,DeSean Jackson (7467133),DeSean Jackson,7467133,5900,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,WR,Golden Tate (7467171),Golden Tate,7467171,5900,Det@GB 01:00PM ET,Det,
,,,,,,,,,,QB,Tyrod Taylor (7467004),Tyrod Taylor,7467004,5800,Ari@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Michael Floyd (7467113),Michael Floyd,7467113,5800,Ari@Buf 01:00PM ET,Ari,
,,,,,,,,,,TE,Greg Olsen (7467252),Greg Olsen,7467252,5800,Min@Car 01:00PM ET,Car,
,,,,,,,,,,RB,Latavius Murray (7467054),Latavius Murray,7467054,5700,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,QB,Andy Dalton (7467032),Andy Dalton,7467032,5700,Den@Cin 01:00PM ET,Cin,
,,,,,,,,,,QB,Josh McCown (7467018),Josh McCown,7467018,5600,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,RB,T.J. Yeldon (7467085),T.J. Yeldon,7467085,5600,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,WR,Sterling Shepard (7467142),Sterling Shepard,7467142,5500,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Arian Foster (7467069),Arian Foster,7467069,5500,Cle@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Corey Coleman (7467153),Corey Coleman,7467153,5300,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,QB,Sam Bradford (7467041),Sam Bradford,7467041,5300,Min@Car 01:00PM ET,Min,
,,,,,,,,,,WR,Allen Hurns (7467162),Allen Hurns,7467162,5200,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,RB,Rashad Jennings (7467061),Rashad Jennings,7467061,5100,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Trevor Siemian (7467035),Trevor Siemian,7467035,5100,Den@Cin 01:00PM ET,Den,
,,,,,,,,,,WR,Stefon Diggs (7467199),Stefon Diggs,7467199,5100,Min@Car 01:00PM ET,Min,
,,,,,,,,,,QB,Drew Stanton (7467003),Drew Stanton,7467003,5000,Ari@Buf 01:00PM ET,Ari,
,,,,,,,,,,QB,EJ Manuel (7467005),EJ Manuel,7467005,5000,Ari@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Cardale Jones (7467006),Cardale Jones,7467006,5000,Ari@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Matt Cassel (7467007),Matt Cassel,7467007,5000,Oak@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Matt McGloin (7467008),Matt McGloin,7467008,5000,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,QB,Connor Cook (7467010),Connor Cook,7467010,5000,Oak@Ten 01:00PM ET,Oak,
,,,,,,,,,,TE,Delanie Walker (7467210),Delanie Walker,7467210,5000,Oak@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Josh Johnson (7467013),Josh Johnson,7467013,5000,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Colt McCoy (7467014),Colt McCoy,7467014,5000,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,QB,Ryan Nassib (7467016),Ryan Nassib,7467016,5000,Was@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Nate Sudfeld (7467017),Nate Sudfeld,7467017,5000,Was@NYG 01:00PM ET,Was,
,,,,,,,,,,QB,Matt Moore (7467019),Matt Moore,7467019,5000,Cle@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,Cody Kessler (7467021),Cody Kessler,7467021,5000,Cle@Mia 01:00PM ET,Cle,
,,,,,,,,,,QB,Chad Henne (7467023),Chad Henne,7467023,5000,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,QB,Ryan Mallett (7467024),Ryan Mallett,7467024,5000,Bal@Jax 01:00PM ET,Bal,
,,,,,,,,,,QB,Brandon Allen (7467026),Brandon Allen,7467026,5000,Bal@Jax 01:00PM ET,Jax,
,,,,,,,,,,WR,Mike Wallace (7467159),Mike Wallace,7467159,5000,Bal@Jax 01:00PM ET,Bal,
,,,,,,,,,,QB,Dan Orlovsky (7467027),Dan Orlovsky,7467027,5000,Det@GB 01:00PM ET,Det,
,,,,,,,,,,QB,Brett Hundley (7467030),Brett Hundley,7467030,5000,Det@GB 01:00PM ET,GB,
