"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
QB,Ryan Tannehill,7467020,6200,Cle@Mia 01:00PM ET,Mia,23.3
QB,Aaron Rodgers,7467028,7700,Det@GB 01:00PM ET,GB,25.2
QB,Eli Manning,7467012,7000,Was@NYG 01:00PM ET,NYG,22.9
RB,David Johnson,7467050,7700,Ari@Buf 01:00PM ET,Ari,16.4
RB,Theo Riddick,7467089,4900,Det@GB 01:00PM ET,Det,10.7
RB,DeMarco Murray,7467052,6300,Oak@Ten 01:00PM ET,Ten,13.4
RB,Giovani Bernard,7467096,4300,Den@Cin 01:00PM ET,Cin,8.4
WR,Jarvis Landry,7467148,6600,Cle@Mia 01:00PM ET,Mia,13.1
WR,Odell Beckham Jr.,7467138,9100,Was@NYG 01:00PM ET,NYG,19
WR,Jordy Nelson,7467169,7400,Det@GB 01:00PM ET,GB,15
WR,Sterling Shepard,7467142,5500,Was@NYG 01:00PM ET,NYG,10.4
WR,Kelvin Benjamin,7467197,7200,Min@Car 01:00PM ET,Car,15
WR,Larry Fitzgerald,7467110,6900,Ari@Buf 01:00PM ET,Ari,13.6
WR,Marvin Jones Jr.,7467172,6200,Det@GB 01:00PM ET,Det,11.9
WR,Tajae Sharpe,7467129,4700,Oak@Ten 01:00PM ET,Ten,9.2
TE,Greg Olsen,7467252,5800,Min@Car 01:00PM ET,Car,9.8
TE,Dennis Pitta,7467230,3400,Bal@Jax 01:00PM ET,Bal,8
TE,Julius Thomas,7467232,4600,Bal@Jax 01:00PM ET,Jax,8.7
DST,Dolphins ,7467484,3000,Cle@Mia 01:00PM ET,Mia,6.6
DST,Titans ,7467479,2500,Oak@Ten 01:00PM ET,Ten,5.5
